train_loss_mean,test_loss_mean
56.37859132554796,52.305216789245605
48.86111153496636,44.328789710998535
40.125245836046005,34.351911544799805
28.604923460218643,20.431062698364258
11.622631046507093,-1.494093656539917
-16.506949133343166,-35.9295768737793
-46.22038862440321,-60.471492767333984
-70.99038399590387,-82.6576976776123
-88.25667911105685,-93.04580116271973
-95.7298075358073,-98.09564208984375
-98.71186150444879,-99.43906784057617
-99.61712307400174,-99.85612869262695
-100.09362538655598,-100.37267684936523
-100.3399191962348,-100.3713436126709
-100.52239057752821,-100.54949760437012
-100.77165815565321,-100.65963745117188
-100.59840986463759,-100.5289306640625
-100.64185418023004,-100.7362232208252
-100.69162835015192,-100.7793140411377
-100.6876449584961,-100.85914421081543
-100.68829176161024,-100.70689582824707
-100.8150371975369,-100.83748626708984
-100.69969262017145,-100.73325538635254
-100.78407118055556,-100.68399810791016
-100.90411376953125,-100.59739685058594
-100.9032940334744,-100.76863288879395
-100.81881713867188,-100.72566986083984
-100.90036010742188,-100.77997207641602
-100.8167707655165,-100.8318042755127
-100.84828016493056,-100.7774715423584
-100.74697028266058,-100.72833633422852
-100.82979922824435,-100.86235809326172
-100.89666324191623,-100.94349098205566
-100.87594774034288,-100.76592636108398
-100.6971672905816,-100.82086563110352
-100.81900787353516,-100.66576957702637
-100.94690534803603,-100.80072021484375
-100.86330244276259,-100.81764221191406
-100.86127302381728,-100.90005493164062
-100.86148495144315,-100.79544639587402
-100.83785586886935,-100.79777336120605
-100.89615546332465,-100.84533500671387
-100.83763885498047,-100.89034843444824
-100.74034288194444,-100.8863468170166
-100.80666266547308,-100.76059150695801
-100.79855092366536,-100.82403182983398
-100.76036749945746,-100.89349174499512
-100.75829230414496,-100.83594131469727
-100.90951283772786,-100.9495792388916
-100.80807240804036,-100.70047187805176
-100.87671237521701,-100.76505279541016
-100.83873918321397,-100.84909057617188
-100.74568854437933,-100.94906044006348
-100.80783589680989,-100.81964302062988
-100.79744635687933,-100.82175827026367
-100.88168250189887,-100.98891639709473
-100.87566714816623,-100.99749183654785
-100.83187018500433,-100.99024963378906
-100.97571394178603,-100.80999946594238
-100.84291500515408,-100.80844688415527
-100.8515396118164,-100.79637336730957
-100.82084316677518,-100.83241081237793
-100.8949220445421,-100.7581787109375
-100.80919392903645,-100.70495223999023
-100.78353457980685,-100.85330772399902
-100.83789147271051,-100.82884216308594
-100.83021545410156,-100.84639167785645
-100.90436469184027,-100.94573211669922
-100.8158467610677,-100.7896556854248
-100.82529703776042,-100.9809684753418
-100.83119879828558,-100.81648635864258
-100.834959242079,-100.91209411621094
-100.78309885660808,-100.88615798950195
-100.88608720567491,-100.94518852233887
-100.87200588650174,-101.02833557128906
-100.88891855875652,-100.87712097167969
-100.7979965209961,-100.96277046203613
-100.82520718044705,-100.97391891479492
-100.8049053615994,-100.88327407836914
-100.81936984592014,-100.76529884338379
-100.7918455335829,-100.70464897155762
-100.93080393473308,-100.87931251525879
-100.81494394938152,-100.70003318786621
-100.82710605197482,-100.8402156829834
-100.8998794555664,-100.87675476074219
-100.8645773993598,-100.84893989562988
-100.8594970703125,-100.99274635314941
-100.82167222764757,-100.83347511291504
-100.86669921875,-100.73126411437988
-100.93727366129558,-100.97381973266602
-100.86131710476346,-100.70112419128418
-100.88925679524739,-100.84639167785645
-100.78963131374783,-100.83463859558105
-100.75454542371962,-100.84362983703613
-100.77453189425998,-100.88033294677734
-100.90270487467448,-100.88324356079102
-100.87816874186198,-100.8715991973877
-100.88040415445964,-100.76235771179199
-100.92856004503038,-100.8085880279541
-100.95755683051215,-100.91995429992676
-100.84748246934679,-100.91643333435059
-100.8448952568902,-100.85791778564453
-100.82331848144531,-100.9775390625
-100.94803788926866,-100.83477592468262
-100.81074523925781,-100.90856170654297
-100.91334194607205,-100.94502067565918
-100.80456034342448,-100.96076965332031
-100.79496595594618,-101.09592628479004
-100.82196214463976,-101.07755851745605
-100.95482465955946,-100.84185218811035
-100.88307189941406,-100.93820762634277
-100.87638007269965,-101.03291893005371
-100.86800808376736,-100.83570098876953
-100.85328250461154,-100.82291030883789
-100.7936765882704,-100.93133354187012
-100.81248643663194,-100.95484161376953
-100.82605828179254,-100.91621017456055
-100.81136491563585,-100.8341293334961
-100.72344122992621,-100.84237480163574
-100.91027153862848,-100.80929946899414
-100.91878594292535,-100.7637996673584
-100.97688717312283,-100.86989402770996
-100.90502844916449,-100.9630355834961
-100.91634962293837,-100.96038436889648
-100.81754048665364,-100.77359008789062
-100.89764658610027,-100.81049919128418
-100.88619995117188,-100.86800193786621
-100.89824930826823,-100.84103393554688
-100.79276021321614,-100.92230224609375
-100.78531222873264,-100.94009971618652
-100.78236813015408,-100.84307670593262
-100.84747738308377,-100.7691879272461
-100.92914750840929,-100.81791687011719
-100.83313581678603,-100.88284683227539
